Price,Adj Close,Close,High,Low,Open,Volume,SMA_10,EMA_10,RSI,MACD_12_26_9,MACDs_12_26_9,BBM_20,BBU_20,BBL_20,Target
Ticker,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,,,,,,,,,
Date,,,,,,,,,,,,,,,
2015-06-01,5082.93017578125,5082.93017578125,5099.009765625,5045.669921875,5094.93994140625,1902120000,5079.06396484375,5070.448878935157,63.330992645773364,21.167894108622022,16.24903977868739,5033.3084716796875,5148.764496118561,4917.852447240814,5076.52001953125
2015-06-02,5076.52001953125,5076.52001953125,5100.02001953125,5047.35009765625,5063.47021484375,1729750000,5078.87197265625,5071.552722679901,65.47394200095792,20.442578611876343,17.087747545325183,5036.2879638671875,5153.032747425732,4919.543180308643,5099.22998046875
2015-06-03,5099.22998046875,5099.22998046875,5114.60009765625,5084.990234375,5098.47998046875,1852680000,5081.7919921875,5076.584951368783,67.21439727226439,21.452968441498342,17.960791724559815,5044.282958984375,5154.8050246320845,4933.7608933366655,5059.1201171875
2015-06-04,5059.1201171875,5059.1201171875,5101.10986328125,5046.2900390625,5078.22021484375,1813960000,5080.52998046875,5073.409526972186,51.331674471237704,18.800458918720324,18.12872516339192,5051.2569580078125,5144.990542507544,4957.523373508081,5068.4599609375
2015-06-05,5068.4599609375,5068.4599609375,5074.97998046875,5025.52001953125,5057.0400390625,1842890000,5078.29697265625,5072.50960587497,53.15914736365527,17.253090458782026,17.953598222469942,5057.4029541015625,5137.004381090717,4977.801527112408,5021.6298828125
2015-06-08,5021.6298828125,5021.6298828125,5069.0,5014.06005859375,5066.64990234375,1712210000,5071.523974609375,5063.258747136339,41.54387342011353,12.108415598900137,16.784561697755983,5058.306958007813,5135.713670031839,4980.900245983787,5013.8701171875
2015-06-09,5013.8701171875,5013.8701171875,5027.02001953125,4974.6201171875,5013.1298828125,1754340000,5069.635986328125,5054.27899623655,41.62446676657739,7.32068714772322,14.891786787749432,5059.32197265625,5133.624592573785,4985.0193527387155,5076.68994140625
2015-06-10,5076.68994140625,5076.68994140625,5086.66015625,5024.169921875,5029.41015625,1792980000,5066.64599609375,5058.353713540131,50.624380208557895,8.497459243052617,13.61292127881007,5064.34697265625,5127.775135121474,5000.918810191026,5082.509765625
2015-06-11,5082.509765625,5082.509765625,5101.39013671875,5075.0498046875,5088.259765625,1623950000,5065.098974609375,5062.745723010107,48.9194183542126,9.786854021878753,12.847707827423807,5069.387963867188,5119.85806216568,5018.917865568696,5051.10009765625
2015-06-12,5051.10009765625,5051.10009765625,5067.9599609375,5043.240234375,5060.240234375,1428900000,5063.206005859375,5060.628336582133,45.36940293215203,8.17991796764818,11.914149855468683,5069.402978515625,5119.849966398789,5018.955990632462,5029.97021484375
2015-06-15,5029.97021484375,5029.97021484375,5035.3701171875,4985.93994140625,5011.7900390625,1790280000,5057.910009765625,5055.054132629699,49.63195221132525,5.142129347892478,10.559745753953441,5068.486987304687,5121.164105329758,5015.809869279617,5055.5498046875
2015-06-16,5055.5498046875,5055.5498046875,5063.06005859375,5022.56005859375,5023.580078125,1654820000,5055.81298828125,5055.144254822026,42.252078367192034,4.74403284590062,9.396603172342878,5067.34248046875,5120.10368153854,5014.581279398961,5064.8798828125
2015-06-17,5064.8798828125,5064.8798828125,5080.10986328125,5042.25,5067.68017578125,1712820000,5052.377978515625,5056.914369002112,44.98633962632554,5.122350561196072,8.541752650113517,5067.084985351563,5119.841231802531,5014.3287389005945,5132.9501953125
2015-06-18,5132.9501953125,5132.9501953125,5143.31982421875,5082.02978515625,5082.06005859375,1877920000,5059.760986328125,5070.73906469491,58.49772292336282,10.790489363080269,8.991499992706867,5070.145483398437,5130.5816591925095,5009.709307604365,5117.0
2015-06-19,5117.0,5117.0,5140.169921875,5113.93994140625,5139.77001953125,2468310000,5064.614990234375,5079.150143841289,54.563708785997875,13.835990059135838,9.960398005992662,5071.455981445312,5134.841724208325,5008.0702386822995,5153.97021484375
2015-06-22,5153.97021484375,5153.97021484375,5162.1298828125,5142.77978515625,5147.8701171875,1619970000,5077.8490234375,5092.753793114463,59.58947671339545,19.01358193037231,11.771034790868592,5074.686499023437,5147.759856085869,5001.613141961006,5160.08984375
2015-06-23,5160.08984375,5160.08984375,5163.41015625,5139.330078125,5161.68017578125,1613540000,5092.47099609375,5104.9967114118335,57.85818312496454,23.34159630713384,14.085147094121643,5081.053491210938,5160.641824439002,5001.465157982873,5122.41015625
2015-06-24,5122.41015625,5122.41015625,5164.35986328125,5121.64013671875,5151.3798828125,1628800000,5097.043017578125,5108.1627922915,58.22357401711484,23.460702627307,15.960258200758716,5081.844506835938,5162.804136231512,5000.884877440364,5112.18994140625
2015-06-25,5112.18994140625,5112.18994140625,5141.7099609375,5102.16015625,5139.47998046875,1614760000,5100.01103515625,5108.895001221455,55.6690733278389,22.47137331652084,17.26248122391114,5082.555004882813,5164.355903477529,5000.754106288096,5080.509765625
2015-06-26,5080.509765625,5080.509765625,5121.47021484375,5060.81982421875,5113.259765625,3843810000,5102.952001953125,5103.734049294827,57.94516540513188,18.91298022362207,17.592581023853327,5083.07900390625,5164.676086770363,5001.481921042137,4958.47021484375
2015-06-29,4958.47021484375,4958.47021484375,5051.009765625,4956.22998046875,5021.2099609375,2025580000,5095.802001953125,5077.322443030995,44.2865358255389,6.174184088816219,15.308901636845906,5076.856005859375,5175.668654468714,4978.043357250036,4986.8701171875
2015-06-30,4986.8701171875,4986.8701171875,5008.759765625,4968.259765625,5000.14990234375,2034430000,5088.934033203125,5060.8765656049045,40.02885896508845,-1.6111959903910247,11.92488211139852,5072.373510742187,5179.069542107643,4965.677479376731,5013.1201171875
2015-07-01,5013.1201171875,5013.1201171875,5038.5498046875,4994.4599609375,5029.0498046875,1814560000,5083.758056640625,5052.193574983558,42.63112154630815,-5.598474445719148,8.420210799974987,5068.068017578125,5177.1244047529935,4959.011630403257,5009.2099609375
2015-07-02,5009.2099609375,5009.2099609375,5027.47021484375,4990.740234375,5024.2998046875,1490810000,5071.384033203125,5044.378372429729,45.27550859694318,-8.97053157515711,4.942062324948568,5065.572509765625,5177.731052390299,4953.413967140951,4991.93994140625
